 Campaign_ID ,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks ,Spend,Conversions,Active,Clicks,Campaign_Tag
CMP-00038,Q4_Winter_CMP-00038,7/15/2023 0:00,8/7/2023,TikTok,32551,1335,"$1,118.15 ",200,Yes,,TI
CMP-00039,Q3_Launch_CMP-00039,5/9/2023 0:00,5/25/2023,Email,12394,324,418.96,22,1,,EM
CMP-00040,Q4_BlackFriday_CMP-00040,1/6/2023 0:00,1/26/2023,Email,70092,2388,4152.44,424,0,,EM
CMP-00041,Q4_Summer_CMP-00041,10/2/2023 0:00,10/12/2023,Email,4890,172,$205.48 ,29,TRUE,,EM
CMP-00042,Q3_Summer_CMP-00042,6/24/2023 0:00,6/29/2023,TikTok,42606,1061,973.67,55,Yes,,TI
CMP-00043,Q2_Summer_CMP-00043,21/08/2023,8/29/2023,Instagram,97276,2967,4397.28,546,Y,,IN
CMP-00044,Q1_Winter_CMP-00044,5/15/2023 0:00,6/1/2023,E-mail,81038,2149,3729.91,116,1,81075,E-
CMP-00045,Q2_Summer_CMP-00045,9/17/2023 0:00,10/3/2023,TikTok,88313,1127,670.24,96,FALSE,,TI
CMP-00046,Q4_Launch_CMP-00046,6/2/2023 0:00,6/28/2023,Instagram,11627,319,531.19,17,TRUE,,IN
CMP-00047,Q4_BlackFriday_CMP-00047,4/12/2023 0:00,4/19/2023,Google Ads,9792,136,235.62,13,Y,,GO
CMP-00048,Q3_Winter_CMP-00048,10/4/2023 0:00,10/18/2023,Email,74969,1964,2341.65,249,Yes,,EM
CMP-00049,Q4_Winter_CMP-00049,1/1/2023 0:00,1/17/2023,Facebook,44001,1483,2928.86,,FALSE,,FA
CMP-00050,Q3_Summer_CMP-00050,2/27/2023 0:00,2/28/2023,Email,77552,2572,4321.12,258,TRUE,,INVALID
CMP-00051,Q4_Winter_CMP-00051,6/7/2023 0:00,6/17/2023,Google Ads,24897,908,1507.73,141,1,,GO
CMP-00052,Q2_Launch_CMP-00052,10/18/2023,11/8/2023,TikTok,69148,954,1547.16,74,FALSE,,TI
CMP-00053,Q1_Winter_CMP-00053,9/6/2023 0:00,9/12/2023,Facebook,24483,883,640.98,,0,,FA
CMP-00054,Q4_Winter_CMP-00054,9/30/2023 0:00,10/11/2023,N/A,49555,1114,$919.99 ,95,No,,XX
CMP-00055,Q1_Launch_CMP-00055,9/1/2023 0:00,8/27/2023,Google Ads,18159,471,563.31,33,FALSE,,GO
CMP-00056,Q4_BlackFriday_CMP-00056,9/28/2023 0:00,10/8/2023,Facebook,81077,3593,"$3,219.35 ",279,No,,FA
CMP-00057,Q4_Launch_CMP-00057,4/19/2023 0:00,5/11/2023,Email,36920,382,428.93,29,Y,,EM
CMP-00058,Q2_Summer_CMP-00058,12/20/2023 0:00,1/9/2024,TikTok,93067,3121,5719.84,396,TRUE,,TI
CMP-00059,Q3_Launch_CMP-00059,12/10/2023 0:00,12/24/2023,Facebook,68121,2312,"$4,014.77 ",408,Y,,FA
CMP-00060,Q2_BlackFriday_CMP-00060,9/22/2023 0:00,10/12/2023,Email,70479,1823,2634.34,112,Y,,EM
CMP-00061,Q1_Summer_CMP-00061,2/2/2023 0:00,2/6/2023,Google Ads,90475,1762,3149.01,274,Yes,,GO
CMP-00062,Q1_BlackFriday_CMP-00062,4/28/2023,5/18/2023,Google Ads,20457,396,663.56,58,1,,GO
CMP-00063,Q3_Summer_CMP-00063,12/29/2023 0:00,1/3/2024,Facebook,67557,3063,3502.47,554,FALSE,,FA
CMP-00064,Q2_BlackFriday_CMP-00064,1/17/2023,2/3/2023,Email,78189,2164,1734.66,187,TRUE,78213,EM
CMP-00065,Q2_Summer_CMP-00065,5/2/2023 0:00,5/12/2023,Email,79953,1857,2360.81,218,0,,EM
CMP-00066,Q1_Winter_CMP-00066,10/4/2023 0:00,10/15/2023,TikTok,53995,1509,2420.95,285,1,,TI
CMP-00067,Q1_BlackFriday_CMP-00067,10/20/2023 0:00,11/13/2023,Google Ads,41757,1535,1772.36,,1,,GO
CMP-00068,Q2_Winter_CMP-00068,8/31/2023 0:00,9/12/2023,Facebook,10692,169,253.53,18,TRUE,,FA
CMP-00069,Q1_Winter_CMP-00069,2/19/2023 0:00,3/17/2023,Email,46758,1308,839.07,91,1,,EM
CMP-00070,Q3_Summer_CMP-00070,7/30/2023 0:00,8/22/2023,Email,73409,2460,3990.14,219,Yes,,EM
CMP-00071,Q1_Launch_CMP-00071,12/11/2023 0:00,1/8/2024,TikTok,72211,3462,5951.42,474,1,,TI
CMP-00072,Q1_Summer_CMP-00072,2/1/2023 0:00,1/27/2023,Email,66697,1340,"$2,090.74 ",,Yes,,EM
CMP-00073,Q3_Summer_CMP-00073,2/25/2023 0:00,3/9/2023,Google Ads,38065,927,"$1,808.48 ",,FALSE,,GO
CMP-00074,Q3_Summer_CMP-00074,8/18/2023 0:00,9/6/2023,E-mail,93093,2343,4076.77,327,FALSE,,E-
CMP-00075,Q3_BlackFriday_CMP-00075,8/25/2023 0:00,9/10/2023,TikTok,33606,1150,2132.84,152,Y,,TI
CMP-00076,Q4_Winter_CMP-00076,8/15/2023 0:00,8/18/2023,Email,12534,304,577.71,38,Yes,,EM
CMP-00077,Q3_Launch_CMP-00077,20/02/2023,2/21/2023,Google Ads,95663,2998,5102.66,460,0,,GO
CMP-00078,Q3_Winter_CMP-00078,10/4/2023 0:00,10/19/2023,Email,41397,1708,2581.45,299,FALSE,,EM
CMP-00079,Q1_BlackFriday_CMP-00079,5/2/2023 0:00,5/14/2023,Gogle,92387,3530,1795.28,347,1,,GO
CMP-00080,Q4_Summer_CMP-00080,4/20/2023 0:00,5/4/2023,Facebook,2016,56,$67.13 ,10,TRUE,,FA
CMP-00081,Q2_Summer_CMP-00081,3/26/2023 0:00,4/3/2023,Email,90789,4046,5489.38,299,TRUE,,EM
CMP-00082,Q4_Launch_CMP-00082,5/16/2023 0:00,5/23/2023,TikTok,56591,1829,1748.61,138,No,,TI
CMP-00083,Q1_BlackFriday_CMP-00083,5/27/2023 0:00,6/7/2023,Instagram,90812,2869,"$2,803.46 ",258,Yes,,IN
CMP-00084,Q2_Winter_CMP-00084,10/12/2023 0:00,11/4/2023,Instagram,24247,275,533.98,18,0,,IN
CMP-00085,Q4_Summer_CMP-00085,4/8/2023 0:00,4/16/2023,Email,25300,1251,2298.8,105,Y,,EM
CMP-00086,Q1_Winter_CMP-00086,10/24/2023,11/23/2023,Google Ads,75065,1119,1984.85,73,1,,INVALID
CMP-00087,Q2_Winter_CMP-00087,10/6/2023,7/8/2023,Instagram,83798,1612,1787.74,279,Yes,,IN
CMP-00088,Q2_BlackFriday_CMP-00088,10/27/2023 0:00,11/25/2023,Instagram,10268,123,64.03,8,No,,IN
CMP-00089,Q4_Winter_CMP-00089,9/29/2023 0:00,10/10/2023,N/A,87807,3125,1938.54,506,TRUE,87884,XX
CMP-00090,Q3_BlackFriday_CMP-00090,2/11/2023,11/23/2023,Instagram,13185,250,242.07,14,Yes,,IN
CMP-00091,Q3_Launch_CMP-00091,2/4/2023 0:00,3/6/2023,Instagram,64704,1112,582.26,213,1,,IN
CMP-00092,Q1_Launch_CMP-00092,3/3/2023 0:00,4/1/2023,Google Ads,87779,1188,$624.56 ,186,0,,GO
CMP-00093,Q2_Winter_CMP-00093,10/24/2023 0:00,11/9/2023,Google Ads,40099,566,1061.2,28,0,,GO
CMP-00094,Q1_Winter_CMP-00094,8/3/2023 0:00,8/29/2023,N/A,9571,319,497.4,52,FALSE,,XX
CMP-00095,Q4_Summer_CMP-00095,6/11/2023 0:00,6/20/2023,TikTok,39044,1465,1411.43,186,1,,TI
CMP-00096,Q1_Winter_CMP-00096,6/10/2023 0:00,6/28/2023,Google Ads,52214,1352,945,225,No,,GO
CMP-00097,Q3_Summer_CMP-00097,12/10/2023 0:00,12/21/2023,Email,62228,1816,2301.7,233,FALSE,,EM
CMP-00098,Q4_Summer_CMP-00098,7/2/2023,2/26/2023,N/A,49984,1871,950.5,273,FALSE,,XX
CMP-00099,Q4_BlackFriday_CMP-00099,11/15/2023 0:00,12/11/2023,Instagram,41774,446,850.8,74,FALSE,,IN
CMP-00100,Q2_BlackFriday_CMP-00100,2/7/2023 0:00,2/18/2023,Tik_Tok,3568,81,$90.90 ,8,Yes,,TI
CMP-00101,Q2_Summer_CMP-00101,3/9/2023 0:00,4/1/2023,TikTok,63592,3111,3433,156,No,,TI
CMP-00102,Q3_BlackFriday_CMP-00102,5/6/2023 0:00,5/13/2023,Google Ads,68563,2276,2471.49,403,TRUE,,GO
CMP-00103,Q3_Summer_CMP-00103,10/6/2023 0:00,11/4/2023,N/A,3695,74,$44.70 ,7,0,,XX
CMP-00104,Q1_Winter_CMP-00104,12/1/2023 0:00,12/6/2023,Email,49190,1518,2212.46,188,Yes,,EM
CMP-00105,Q4_BlackFriday_CMP-00105,10/11/2023 0:00,10/22/2023,TikTok,6258,148,236.73,7,TRUE,,TI
CMP-00106,Q4_BlackFriday_CMP-00106,3/10/2023 0:00,4/5/2023,Google Ads,88538,2770,4194.3,342,0,,GO
CMP-00107,Q4_Winter_CMP-00107,10/11/2023 0:00,11/1/2023,Google Ads,40504,608,430.25,120,No,,GO
CMP-00108,Q1_Launch_CMP-00108,4/18/2023 0:00,5/7/2023,Google Ads,34159,522,714.23,47,No,,GO
CMP-00109,Q1_BlackFriday_CMP-00109,11/21/2023 0:00,12/21/2023,TikTok,14986,235,318.24,25,1,,TI
CMP-00110,Q3_Launch_CMP-00110,5/9/2023 0:00,5/17/2023,Instagram,62858,2991,5391.63,457,0,,IN
CMP-00111,Q4_Winter_CMP-00111,2/17/2023 0:00,3/12/2023,Email,13666,537,573.89,92,0,,EM
CMP-00112,Q4_BlackFriday_CMP-00112,23/01/2023,2/11/2023,Email,39660,654,691.43,73,No,,EM
CMP-00113,Q3_BlackFriday_CMP-00113,3/8/2023 0:00,3/28/2023,Instagram,4561,79,112.8,7,0,,IN
CMP-00114,Q1_Launch_CMP-00114,8/15/2023 0:00,8/23/2023,Facebook,27854,1092,1582.97,208,Y,,FA
CMP-00115,Q4_BlackFriday_CMP-00115,1/5/2023 0:00,2/1/2023,Facebok,65505,1064,1280.98,161,1,,FA
CMP-00116,Q1_Summer_CMP-00116,12/20/2023 0:00,1/16/2024,Facebook,53251,1032,1201.86,70,Yes,,FA
CMP-00117,Q2_Summer_CMP-00117,7/9/2023 0:00,7/17/2023,TikTok,23662,1148,1424.92,,Yes,,TI
CMP-00118,Q2_Summer_CMP-00118,7/3/2023,3/23/2023,Google Ads,9392,189,338.61,23,TRUE,,GO
CMP-00119,Q3_Launch_CMP-00119,7/6/2023 0:00,7/25/2023,Facebok,31535,1149,1369.32,95,Yes,,FA
CMP-00120,Q2_Launch_CMP-00120,1/21/2023 0:00,2/6/2023,Facebook,79603,3912,7471.52,344,FALSE,,FA
CMP-00121,Q1_Winter_CMP-00121,5/8/2023 0:00,6/6/2023,Email,53256,1329,1669.23,241,0,,EM
CMP-00122,Q4_Launch_CMP-00122,10/14/2023 0:00,10/15/2023,Instagram,90135,964,1854.54,61,Yes,,IN
CMP-00123,Q1_BlackFriday_CMP-00123,11/14/2023 0:00,11/25/2023,Facebook,36222,715,"$1,250.71 ",112,TRUE,,FA
CMP-00124,Q4_Launch_CMP-00124,5/2/2023 0:00,5/19/2023,N/A,78373,3388,3535.88,307,TRUE,,XX
CMP-00125,Q4_Summer_CMP-00125,4/1/2023,2/2/2023,Email,80575,3592,6449.3,589,FALSE,,EM
CMP-00126,Q1_Winter_CMP-00126,6/20/2023 0:00,6/24/2023,Email,97354,3966,2637.77,628,TRUE,,EM
CMP-00127,Q1_Launch_CMP-00127,12/9/2023 0:00,12/22/2023,Instagram,85651,1244,"$2,348.14 ",63,No,,IN
CMP-00128,Q4_Winter_CMP-00128,5/17/2023 0:00,6/11/2023,Instagram,64335,2690,3893.68,,Y,,IN
CMP-00129,Q4_BlackFriday_CMP-00129,7/15/2023 0:00,7/20/2023,TikTok,11965,559,325.11,39,No,,TI
CMP-00130,Q1_BlackFriday_CMP-00130,4/24/2023 0:00,5/14/2023,Facebook,25538,868,"$1,272.82 ",156,0,,FA
CMP-00131,Q3_Launch_CMP-00131,6/29/2023 0:00,7/10/2023,Google Ads,71592,3410,6688.28,616,0,,INVALID
CMP-00132,Q2_Launch_CMP-00132,4/27/2023 0:00,4/30/2023,Google Ads,99018,4265,2579.05,480,0,,GO
CMP-00133,Q1_BlackFriday_CMP-00133,7/24/2023 0:00,8/10/2023,Facebook,9110,334,444.9,38,1,,FA
CMP-00134,Q4_Summer_CMP-00134,5/23/2023 0:00,6/8/2023,Facebook,80309,2657,4308.83,253,Yes,,FA
CMP-00135,Q2_Launch_CMP-00135,12/14/2023 0:00,12/29/2023,Google Ads,28266,676,"$1,159.60 ",,Y,,GO
CMP-00136,Q2_Winter_CMP-00136,1/15/2023 0:00,2/4/2023,Google Ads,53992,883,989.61,91,Yes,,GO
CMP-00137,Q3_Summer_CMP-00137,4/2/2023 0:00,5/1/2023,Google Ads,83948,2870,2313.94,258,Y,,GO
CMP-00138,Q4_Summer_CMP-00138,1/20/2023 0:00,2/18/2023,Facebook,99806,2268,1278.05,260,Yes,,FA
CMP-00139,Q3_Launch_CMP-00139,6/10/2023 0:00,7/4/2023,Instagram,7910,353,$483.47 ,22,FALSE,,IN
CMP-00140,Q4_Winter_CMP-00140,3/1/2023 0:00,3/10/2023,Instagram,91982,4574,5394.42,,No,92026,IN
CMP-00141,Q1_Winter_CMP-00141,11/5/2023,5/14/2023,Facebook,1206,48,92.31,2,TRUE,,FA
CMP-00142,Q1_Launch_CMP-00142,12/8/2023,8/27/2023,TikTok,88054,1199,$708.50 ,175,TRUE,,TI
CMP-00143,Q3_BlackFriday_CMP-00143,10/3/2023 0:00,10/16/2023,Facebook,88897,1915,2926.3,148,No,,FA
CMP-00144,Q2_Summer_CMP-00144,12/10/2023 0:00,1/4/2024,Google Ads,24419,350,188.11,29,FALSE,24436,GO
CMP-00145,Q2_Summer_CMP-00145,12/7/2023 0:00,12/14/2023,Facebook,51636,1859,-1407.54,270,Y,,FA
CMP-00146,Q3_Launch_CMP-00146,12/6/2023 0:00,1/1/2024,Google Ads,51015,2071,2444.54,,No,,GO
CMP-00147,Q1_BlackFriday_CMP-00147,6/3/2023 0:00,6/28/2023,Facebook,55268,2599,3072.82,433,1,,FA
CMP-00148,Q4_Launch_CMP-00148,6/17/2023 0:00,6/26/2023,Instagram,88939,2448,"$3,741.89 ",205,Y,,IN
CMP-00149,Q2_BlackFriday_CMP-00149,3/7/2023 0:00,3/30/2023,Facebook,19141,881,1643.35,67,TRUE,,FA
CMP-00150,Q2_Summer_CMP-00150,7/14/2023 0:00,7/19/2023,N/A,81356,3670,5352.87,660,1,,XX
CMP-00151,Q1_Launch_CMP-00151,11/12/2023 0:00,11/24/2023,Google Ads,72910,1654,3192.72,192,Yes,,GO
CMP-00152,Q3_BlackFriday_CMP-00152,1/1/2023 0:00,1/29/2023,E-mail,57044,2553,4652.65,180,1,,E-
CMP-00153,Q2_Winter_CMP-00153,10/24/2023 0:00,11/18/2023,TikTok,68214,1707,"$2,350.11 ",306,Y,,TI
CMP-00154,Q3_Launch_CMP-00154,8/15/2023 0:00,8/17/2023,TikTok,34827,761,1332.27,131,FALSE,,TI
CMP-00155,Q4_Launch_CMP-00155,8/31/2023 0:00,9/16/2023,Facebook,56820,2043,2990.68,403,Yes,,INVALID
CMP-00156,Q2_Launch_CMP-00156,3/28/2023 0:00,4/5/2023,Facebook,63623,1471,908.84,274,Y,,FA
CMP-00157,Q3_Launch_CMP-00157,12/6/2023 0:00,12/1/2023,TikTok,82734,2912,4690.79,,Yes,82765,TI
CMP-00158,Q1_Winter_CMP-00158,5/1/2023 0:00,5/22/2023,Email,76450,2629,1688.77,,1,,INVALID
CMP-00159,Q1_Winter_CMP-00159,4/12/2023,12/5/2023,Google Ads,94426,3072,4273.53,201,TRUE,,GO
CMP-00160,Q3_BlackFriday_CMP-00160,9/1/2023 0:00,9/12/2023,Google Ads,23299,587,912.17,79,Y,,GO
CMP-00161,Q1_Winter_CMP-00161,8/22/2023 0:00,9/3/2023,Facebook,44585,1424,854.1,184,FALSE,,INVALID
CMP-00162,Q4_Winter_CMP-00162,4/10/2023 0:00,5/7/2023,Google Ads,65044,2202,1863.31,261,No,,GO
CMP-00163,Q4_BlackFriday_CMP-00163,7/24/2023 0:00,8/13/2023,N/A,43557,1386,2596.68,151,1,,INVALID
CMP-00164,Q1_Launch_CMP-00164,1/3/2023 0:00,1/19/2023,Google Ads,50080,1391,1981.44,159,Y,,GO
CMP-00165,Q3_Summer_CMP-00165,2/24/2023 0:00,3/14/2023,Instagram,3693,39,33.91,,FALSE,,IN
CMP-00166,Q4_Winter_CMP-00166,12/23/2023,12/28/2023,TikTok,96003,3214,"$4,936.77 ",161,Y,,TI
CMP-00167,Q4_Summer_CMP-00167,5/8/2023 0:00,6/3/2023,Google Ads,96259,1611,2247.61,143,1,,GO
CMP-00168,Q1_Winter_CMP-00168,3/10/2023 0:00,3/19/2023,Facebook,70163,2505,3137.17,,Y,,FA
CMP-00169,Q2_Launch_CMP-00169,10/14/2023 0:00,10/25/2023,Google Ads,26939,1087,"$2,135.17 ",172,Yes,,GO
CMP-00170,Q2_Launch_CMP-00170,8/15/2023 0:00,8/31/2023,TikTok,49925,1498,"$2,284.72 ",114,1,,TI
CMP-00171,Q2_BlackFriday_CMP-00171,9/16/2023 0:00,9/27/2023,N/A,43941,1392,1479.92,183,Y,,XX
CMP-00172,Q2_Winter_CMP-00172,8/17/2023 0:00,9/6/2023,Facebook,22834,1097,1865.02,172,No,,FA
CMP-00173,Q1_BlackFriday_CMP-00173,9/1/2023 0:00,9/30/2023,Email,19047,835,1525.44,97,TRUE,,EM
CMP-00174,Q3_Summer_CMP-00174,11/23/2023 0:00,12/11/2023,TikTok,27105,1262,868.04,68,Y,,TI
CMP-00175,Q3_BlackFriday_CMP-00175,9/6/2023 0:00,9/13/2023,Email,76766,3266,2615.51,383,Yes,,EM
CMP-00176,Q1_Launch_CMP-00176,2/9/2023 0:00,3/8/2023,TikTok,16707,239,197.02,22,FALSE,,TI
CMP-00177,Q4_Launch_CMP-00177,6/21/2023 0:00,7/17/2023,TikTok,22976,366,$562.48 ,,No,,TI
CMP-00178,Q4_BlackFriday_CMP-00178,3/12/2023 0:00,4/2/2023,Facebok,45262,1406,1974.81,96,FALSE,,FA
CMP-00179,Q3_Launch_CMP-00179,3/20/2023,3/27/2023,Facebook,24776,491,701.39,72,No,,FA
CMP-00180,Q3_Summer_CMP-00180,7/28/2023 0:00,8/27/2023,Facebook,31080,903,1725.78,52,FALSE,,FA
CMP-00181,Q2_Launch_CMP-00181,2/1/2023 0:00,2/21/2023,Instagram,67842,1748,2908.44,,TRUE,,IN
CMP-00182,Q4_BlackFriday_CMP-00182,10/27/2023,11/16/2023,Email,62373,1994,"$1,379.66 ",265,Yes,,EM
CMP-00183,Q2_Winter_CMP-00183,10/22/2023,10/26/2023,Email,7776,310,$316.59 ,29,1,,EM
CMP-00184,Q4_Launch_CMP-00184,6/30/2023 0:00,7/10/2023,Email,93787,3622,"$4,176.49 ",428,FALSE,,EM
CMP-00185,Q3_Launch_CMP-00185,8/3/2023 0:00,8/27/2023,Facebok,56016,1728,1890.33,128,No,,FA
CMP-00186,Q3_Summer_CMP-00186,11/5/2023 0:00,11/7/2023,Instagram,10474,449,675.28,42,Yes,,IN
CMP-00187,Q1_Summer_CMP-00187,5/20/2023,6/13/2023,Facebook,59053,1608,2955.25,230,Y,,FA
CMP-00188,Q1_Summer_CMP-00188,6/22/2023 0:00,7/21/2023,E-mail,22959,1053,1009.91,100,TRUE,,E-
CMP-00189,Q4_Summer_CMP-00189,3/26/2023 0:00,4/2/2023,Insta_gram,6530,83,$110.21 ,15,Yes,,IN
CMP-00190,Q4_Summer_CMP-00190,11/15/2023 0:00,12/2/2023,Facebook,95856,4618,"$7,777.24 ",,Yes,,FA
CMP-00191,Q4_Summer_CMP-00191,10/31/2023,11/26/2023,Facebook,4748,171,192.26,19,1,,INVALID
CMP-00192,Q3_Launch_CMP-00192,11/26/2023 0:00,12/13/2023,Instagram,98504,2482,"$1,866.90 ",138,Yes,,IN
CMP-00193,Q2_Winter_CMP-00193,4/4/2023,4/14/2023,Facebook,99098,1772,2148.42,221,1,,FA
CMP-00194,Q4_Launch_CMP-00194,7/14/2023 0:00,7/22/2023,Facebook,14545,424,247.12,69,TRUE,,FA
CMP-00195,Q1_Winter_CMP-00195,6/22/2023 0:00,7/18/2023,Email,67199,1194,"$2,284.81 ",107,TRUE,,EM
CMP-00196,Q4_Summer_CMP-00196,8/4/2023,4/21/2023,Instagram,35766,595,364.28,101,Y,,IN
CMP-00197,Q3_Launch_CMP-00197,1/10/2023,10/15/2023,Instagram,74530,2585,2992.62,226,1,,IN
CMP-00198,Q4_Launch_CMP-00198,6/29/2023,7/22/2023,TikTok,94557,2924,3786.06,507,1,,TI
CMP-00199,Q1_BlackFriday_CMP-00199,30/11/2023,12/27/2023,Email,62087,2285,4519.63,143,FALSE,,EM
CMP-00200,Q2_BlackFriday_CMP-00200,1/16/2023 0:00,2/13/2023,Google Ads,96839,4569,3422.33,,FALSE,,GO
CMP-00201,Q3_BlackFriday_CMP-00201,1/11/2023 0:00,1/6/2023,Instagram,69840,2185,1467.55,272,Y,69935,IN
CMP-00202,Q3_Launch_CMP-00202,8/31/2023 0:00,9/10/2023,Email,55384,1840,944.03,173,TRUE,,EM
CMP-00203,Q2_Summer_CMP-00203,4/22/2023 0:00,5/1/2023,Facebook,52005,706,$517.75 ,63,0,,FA
CMP-00204,Q4_Summer_CMP-00204,7/8/2023 0:00,7/15/2023,Instagram,47576,1841,1492.88,211,FALSE,,IN
CMP-00205,Q1_Summer_CMP-00205,2/28/2023 0:00,3/5/2023,Instagram,40353,1049,1516.72,209,Yes,,IN
CMP-00206,Q2_BlackFriday_CMP-00206,6/9/2023,9/16/2023,Email,63003,3091,2564.17,256,TRUE,,EM
CMP-00207,Q3_BlackFriday_CMP-00207,6/9/2023 0:00,6/10/2023,Instagram,84211,3614,1918.24,236,0,,IN
CMP-00208,Q2_Launch_CMP-00208,7/12/2023 0:00,7/13/2023,Facebook,53733,1660,"$2,888.28 ",228,Yes,,FA
CMP-00209,Q2_Launch_CMP-00209,2/8/2023 0:00,3/1/2023,N/A,66318,990,1037.91,122,No,,INVALID
CMP-00210,Q2_Launch_CMP-00210,5/5/2023 0:00,5/26/2023,Insta_gram,90474,4014,4136.61,516,1,,IN
CMP-00211,Q1_Launch_CMP-00211,12/17/2023 0:00,1/11/2024,TikTok,24664,1035,$987.10 ,155,TRUE,,TI
